Course Code,Course Title,Semester,Prerequisites,Corequisites
ENGR 11001,Intro to Engineering,1,,
ENGR 11002,Engineering Lab,1,,
ENGR 15300/01,MATLAB & Lab,1,,
MATH 12002,Calculus I,1,,
UC 10001,Flashes 101,1,,
Kent Core 1,Kent Core,1,,
CHEM 10060,General Chemistry I,2,,
ENGR 13586/87,CAD & Lab,2,,
MATH 12003,Calculus II,2,MATH 12002,
PHY 23101,Physics I,2,MATH 12002,
ENGR 20000,Professional Development,3,,
ENGR 25200,Statics,3,PHY 23101,
PHY 23102,Physics II,3,PHY 23101,
Math Elective 1,Math Elective,3,MATH 12003,
Kent Core 2,Kent Core,3,,
ECON 22060,Microeconomics,4,,
ENGR 20002,Materials and Processes,4,,
ENGR 25400,Dynamics,4,"ENGR 25200,Math Elective 1",
ENGR 25500,Aero I,4,ENGR 25400,
Math Elective 2,Math Elective,4,MATH 12003,
ENGR 35200/01,Thermal Fluids & Lab,5,,
ENGR 35500/01,Signals & Circuits & Lab,5,,
ENGR 35600,Aero II,5,ENGR 25500,
ENGR 42111,Strength of Materials,5,,
Kent Core 3,Kent Core,5,,
ENGR 33041,Control Systems,6,,
ENGR 35300,Aircraft Perf & Stability I,6,,
ENGR 42363,Materials Selection,6,,
ENGR 45121,Aerospace Propulsion,6,,
Kent Core 4,Kent Core,6,,
AERN 35150,Aircraft Structures,7,,
ENGR 45600,Aircraft Perf & Stability II,7,ENGR 35600,
ENGR 48099,Capstone I,7,,
Specialization,Specialization Elective,7,,
Kent Core 5,Kent Core,7,,
ENGR 45901,Finite Element Method,8,,
ENGR 48001,Orbital Mechanics,8,,
ENGR 48199,Capstone II,8,ENGR 48099,
Kent Core 6,Kent Core,8,,
Kent Core 7,Kent Core,8,,
Kent Core 8,Kent Core,8,,
